# T1 People Gaps - Manual Entry List
# Total: 269 organizations need People info
# Format: Organization Name | Website | Suggested Leader | Title
#--------------------------------------------------------------------------------

## Argentina

Archdiocese of Buenos Aires | http://www.arzbaires.org.ar/inicio/index.html | ??? | ???
Argentine Catholic Apostolic Church | https://www.aca.org | ??? | ???
Buenos Aires Metropolitan Cathedral | https://www.bamc.org | ??? | ???
Russian Orthodox Cathedral of the Holy Trinity | https://www.holytrinitycathedral.org/ | ??? | ???
## Australia

All Saints Anglican Church | https://www.swananglicans.org.au/all-saints-church-c1n0c | ??? | ???
Anglican Church of Australia | https://anglican.org.au | ??? | ???
Australian Christian Churches | https://www.acc.org.au/ | ??? | ???
Baptist Union of Australia | https://www.boa.com | ??? | ???
CRC Churches International | https://www.crces.com | ??? | ???
Cathedral of St Andrew | https://www.cosa.org | ??? | ???
National Church Life Survey | NO_URL | ??? | ???
National Council of Churches in Australia | NO_URL | ??? | ???
## Brazil

Anglican Episcopal Church of Brazil | http://www.ieab.org.br | ??? | ???
Antiochian Orthodox Church | https://www.genuineorthodoxchurch.org/ | ??? | ???
Brazilian Catholic Apostolic Church | https://www.bca.org | ??? | ???
Eastern Orthodox Church | https://www.easternorthodoxchurch.org/ | ??? | ???
Ukrainian Autocephalous Orthodox Church in Diaspora | NO_URL | ??? | ???
## Canada

American-Canadian Macedonian Orthodox Diocese | https://www.amod.org | ??? | ???
Anglican Church of Canada | http://www.anglican.ca/ | ??? | ???
Antiochian Orthodox Archdiocese, N.Am. | https://www.aoan.org | ??? | ???
Apostolic Christian Church (Nazarene) | https://www.apostolicchristian.org | ??? | ???
Apostolic Church of Pentecost | http://www.acop.ca | ??? | ???
Armenian Apostolic Diocese of Am. | https://www.aadoa.com | ??? | ???
Associated Gospel Churches | http://www.agcofcanada.com | ??? | ???
Brethren in Christ Church of Canada | https://www.bicoc.org | ??? | ???
British Methodist Episcopal Church | https://www.bme.org | ??? | ???
Canadian Conference of Catholic Bishops | NO_URL | ??? | ???
Canadian Conference of Mennonite Brethren Churches | https://www.ccomb.org | ??? | ???
Canadian Council of Churches | NO_URL | ??? | ???
Canadian Mennonite Brethren Churches | https://www.cmb.org | ??? | ???
Canadian and American Reformed Churches | https://www.caar.org | ??? | ???
Catholic Church in Canada | https://www.catholicincanada.com | ??? | ???
Christian Reformed Church in North America | NO_URL | ??? | ???
Evangelical Lutheran Church in Canada | NO_URL | ??? | ???
Lutheran Church–Canada | NO_URL | ??? | ???
Presbyterian Church in Canada | NO_URL | ??? | ???
Russian Orthodox Church Outside Russia | NO_URL | ??? | ???
Yearbook of American and Canadian Churches | NO_URL | ??? | ???
## Democratic Republic of the Congo

Baptist Missionary Society | https://www.bms.com | ??? | ???
Cathedral of Saints Peter and Paul | https://www.cospap.com | ??? | ???
## Egypt

All Saint's Church | https://www.svenskakyrkan.se/gallivare/kyrkor/allhelgonakyrkan | ??? | ???
Armenian Apostolic Church | https://armenianchurch.org | ??? | ???
Armenian Catholic Church | https://www.armeniancatholic.org/ | ??? | ???
Armenian Evangelical Church | https://eca.am | ??? | ???
Catholic Church in Egypt | NO_URL | ??? | ???
Diocese of Egypt | https://dioceseofegypt.org/ | ??? | ???
Evangelical Presbyterian Church of Egypt, Synod of the Nile | https://www.epcegypt.org/about | ??? | ???
Free Methodist Church | https://fmcusa.org/ | ??? | ???
Greek Orthodox Church | https://www.greekorthodoxchurch.org/ | ??? | ???
## France

1905 French law on the Separation of the Churches and the State | http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000000508749&amp;fastPos=1&amp;fastReqId=1194187241&amp;categorieLien=cid&amp;oldAction=rechTexte | ??? | ???
## Germany

Assyrian Church of the East | http://assyrianchurch.org/ | ??? | ???
Bulgarian Orthodox Church | NO_URL | ??? | ???
Catholic Church in Germany | https://www.cig.org | ??? | ???
Church of Scientology | NO_URL | ??? | ???
Independent Evangelical-Lutheran Church | NO_URL | ??? | ???
## Ghana

Anglican Diocese of Accra | http://www.accra.anglican.org | ??? | ???
Catholic Church in Ghana | https://www.cig.org | ??? | ???
## Guatemala

Anglican Church in Central America | NO_URL | ??? | ???
Catholic Church in Guatemala | https://www.cig.org | ??? | ???
## India

All India Catholic Union | http://aicu.in/ | ??? | ???
All Saints Cathedral, Allahabad | https://www.asca.org | ??? | ???
American Marathi Mission | https://www.amm.org | ??? | ???
American Missionary Association | https://www.americanmissionary.org | ??? | ???
Andhra Evangelical Lutheran Church | https://www.ael.org | ??? | ???
Archdiocese of Angamaly | https://www.aoa.org | ??? | ???
Archdiocese of Angamalé | https://www.aoa.org | ??? | ???
Archdiocese of Goa | http://www.archgoadaman.org/ | ??? | ???
Archdiocese of Lisbon | http://www.patriarcado-lisboa.pt | ??? | ???
Arunachal Baptist Church Council | https://www.ab.org | ??? | ???
Assam Baptist Convention | https://www.abc.com | ??? | ???
Baptist Church of Mizoram | https://www.bom.org | ??? | ???
Baptist Union of North India | https://www.boni.com | ??? | ???
Believers Eastern Church | https://www.be.org | ??? | ???
Bengal Orissa Bihar Baptist Convention | https://www.bobbc.com | ??? | ???
Bodo Evangelical Lutheran Church | https://www.bel.org | ??? | ???
Boro Baptist Convention | https://bbc.org | ??? | ???
CMS Mission to India | https://www.cmti.com | ??? | ???
CNI Afghan Church | https://www.ca.org | ??? | ???
CNI Cathedral Church of Redemption | https://www.ccor.org | ??? | ???
Catholic Church in India | https://www.cii.org | ??? | ???
Christian Congregation in India | https://christiancongregationintheworld.org | ??? | ???
Church Mission Society | https://churchmissionsociety.org/ | ??? | ???
Church of India, Burma and Ceylon | NO_URL | ??? | ???
India Pentecostal Church of God | NO_URL | ??? | ???
Infant Jesus Cathedral | NO_URL | ??? | ???
Jacobite Syrian Christian Church | NO_URL | ??? | ???
Jacobite Syrian Orthodox Church | NO_URL | ??? | ???
Jeypore Evangelical Lutheran Church | NO_URL | ??? | ???
Malabar Independent Syrian Church | NO_URL | ??? | ???
Methodist Church in India | NO_URL | ??? | ???
National Council of Churches in India | http://ncci1914.com | ??? | ???
North Bank Baptist Christian Association | NO_URL | ??? | ???
Presbyterian Church in India (Reformed) | http://www.pciga.org/ | ??? | ???
Presbyterian Church in South India | NO_URL | ??? | ???
The Pentecostal Mission | NO_URL | ??? | ???
Union of Catholic Asian News | NO_URL | ??? | ???
World Methodist Council | NO_URL | ??? | ???
## Indonesia

American Board of Commissioners for Foreign Missions | https://www.americanboard.org | ??? | ???
Angkola Protestant Christian Church | https://www.apc.org | ??? | ???
Anglican Diocese of Singapore | http://www.anglican.org.sg | ??? | ???
Batak Christian Protestant Church | https://www.bcp.org | ??? | ???
Bethany Indonesian Church | https://www.bi.org | ??? | ???
## Israel

Aid to the Church in Need | https://acninternational.org/ | ??? | ???
Catholic Church and Judaism | https://www.caj.org | ??? | ???
## Japan

American Bible Society | http://americanbible.org | ??? | ???
American Presbyterian Mission | https://www.presbyterianmission.org | ??? | ???
Anglican Episcopal Church in Japan | https://www.nskk.org/ | ??? | ???
British and Foreign Bible Society | https://www.bafbs.com | ??? | ???
## Mexico

Anglican Church in North America | https://anglicanchurch.net | ??? | ???
Anglican Church of Mexico | http://mexico-anglican.org/ | ??? | ???
Antiochian Orthodox Archdiocese of Mexico, Venezuela, Central America and the Caribbean | https://iglesiaortodoxa.org.mx/informacion/ | ??? | ???
Associate Reformed Presbyterian Church | https://arpchurch.org | ??? | ???
Associate Reformed Presbyterian Church of Mexico | https://www.arpom.org | ??? | ???
## Nigeria

African Methodist Episcopal Church in Nigeria | https://www.amein.org | ??? | ???
Celestial Church of Christ | http://www.cccworldwide.org/ | ??? | ???
Christ Apostolic Church | http://www.cacworldwide.net | ??? | ???
Christian Association of Nigeria | http://christianassociationofnigeria.org/ | ??? | ???
Church of Nigeria | http://www.anglican-nig.org/ | ??? | ???
Church of Scotland | http://churchofscotland.org.uk | ??? | ???
Church of the Brethren in Nigeria | NO_URL | ??? | ???
Deeper Christian Life Ministry | http://www.deeperlifeonline.org/ | ??? | ???
Fellowship of Churches of Christ in Nigeria | NO_URL | ??? | ???
Gospel Faith Mission | http://www.gofamint.org | ??? | ???
International Church of the Foursquare Gospel | https://www.foursquare.org/ | ??? | ???
Living Faith Church Worldwide | http://faithtabernacle.org.ng/ | ??? | ???
Lutheran Church of Christ in Nigeria | http://www.lccnigeria.org/ | ??? | ???
Redeemed Christian Church of God | http://rccg.org/ | ??? | ???
Society of African Missions | https://www.sma.ie | ??? | ???
Synagogue Church of All Nations | https://www.scoan.org/ | ??? | ???
The African Church | https://theafricanchurch.org/ | ??? | ???
Word of Life Bible Church | https://ayo-oritsejafor.org | ??? | ???
World Communion of Reformed Churches | https://wcrc.eu/ | ??? | ???
## Philippines

Apostolic Catholic Church | http://nsipb.com/ | ??? | ???
Archdiocese of Palo | http://archdioceseofpalo.com | ??? | ???
Baptist Bible Fellowship International | http://bbfi.org | ??? | ???
Cathedral of Praise | http://cathedralofpraisemanila.com.ph | ??? | ???
Charismatic Episcopal Church | https://www.iccec.org/ | ??? | ???
Christ's Commission Fellowship | http://www.ccf.org.ph | ??? | ???
Convention of Philippine Baptist Churches | https://www.cpbcph.org/ | ??? | ???
Episcopal Church in the Philippines | http://www.episcopalchurchphilippines.com | ??? | ???
Jesus Is Lord Church Worldwide | http://www.jilworldwide.org/ | ??? | ???
Members Church of God International | https://www.mcgi.org/ | ??? | ???
Philippine Chinese Baptist Convention | https://www.google.com/search?as_eq=wikipedia&q=%22Philippine+Chinese+Baptist+Convention%22 | ??? | ???
Philippine Independent Church | http://www.ifi.org.ph/ | ??? | ???
Philippine Orthodox Church | http://orthodoxchurchinphilippines.omhksea.org/ | ??? | ???
Presbyterian Church of the Philippines | http://gapcp.org | ??? | ???
Seventh-day Adventist Church | https://www.adventist.org | ??? | ???
United Church of Christ in the Philippines | http://uccpchurch.com | ??? | ???
United Methodist Church | https://www.umc.org/ | ??? | ???
Victory Christian Fellowship | http://www.victory.org.ph/ | ??? | ???
## Poland

Baptist Christian Church of the Republic of Poland | https://www.baptistchristian.org | ??? | ???
## Romania

Anglican Church of the Resurrection | https://www.aotr.com | ??? | ???
Apostolic Church of God | https://www.aog.org | ??? | ???
